Q,1,5,1.778006762739E12,1.778006762751E12
Q,4,2,1.778006762762E12,1.778006762763E12
A,1,4,1.778006762763E12,1.778006762768E12
Q,1,4,1.778006762768E12,1.778006762769E12
D,2,4,1.77800676277E12,1.778006762771E12
Q,1,4,1.778006762772E12,1.778006762773E12
D,3,4,1.778006762773E12,1.778006762774E12
Q,1,4,1.778006762774E12,1.778006762776E12
Q,3,4,1.778006762776E12,1.778006762777E12
A,4,1,1.778006762777E12,1.778006762778E12
Q,5,4,1.778006762778E12,1.778006762779E12
Q,1,5,1.778006834744E12,1.778006834746E12,2.0
Q,4,2,1.778006834746E12,1.778006834747E12,1.0
A,1,4,1.778006834747E12,1.778006834748E12,1.0
Q,1,4,1.778006834749E12,1.778006834749E12,0.0
D,2,4,1.77800683475E12,1.778006834751E12,1.0
Q,1,4,1.778006834751E12,1.778006834752E12,1.0
D,3,4,1.778006834752E12,1.778006834753E12,1.0
Q,1,4,1.778006834753E12,1.778006834754E12,1.0
Q,3,4,1.778006834754E12,1.778006834755E12,1.0
A,4,1,1.778006834755E12,1.778006834755E12,0.0
Q,5,4,1.778006834756E12,1.778006834756E12,0.0
Q,1,5,1.778007081717E12,1.778007081734E12,17.0
Q,4,2,1.778007081735E12,1.778007081737E12,2.0
A,1,4,1.778007081737E12,1.778007081745E12,8.0
Q,1,4,1.778007081745E12,1.778007081747E12,2.0
D,2,4,1.778007081748E12,1.77800708175E12,2.0
Q,1,4,1.778007081751E12,1.778007081752E12,1.0
D,3,4,1.778007081753E12,1.778007081754E12,1.0
Q,1,4,1.778007081755E12,1.778007081756E12,1.0
Q,3,4,1.778007081756E12,1.778007081758E12,2.0
A,4,1,1.778007081758E12,1.778007081759E12,1.0
Q,5,4,1.77800708176E12,1.778007081761E12,1.0
